Index,Name,Description,Cat,Prc,Pow,Dur,Mag,Cd,Cd I
1,Screw Nail,"Rush forward, carving through foes with claws on both hands. Lowers hit enemy Gunpla's Shot Defense by 14%.",4,B-,D,,,21,3
2,Burning Fist,Charge through enemies in front of you with your fist. Lowers hit enemy Gunpla's Melee Defense by 14%.,4,D,C-,,,21,6
3,Head-Mounted Vulcan,Fire the Vulcan in your head at foes straight ahead. You can move freely while shooting. Lowers hit enemy Gunpla's Melee and Shot Defense by 14%.,2,D-,D,,,19,5
4,Double Saber Rush,Cleave through enemies with sabers in each hand.,3,D,B-,,,21,6
5,Crimson Stinger,Unleash a storm of blows from your lance. Raise your Melee Defense by 19%.,3,D,A-,,,21,6
6,Last Shooting,Stand firm and shoot down foes with your arm rifle. Squad recovers 48% of maximum Armor. Raise Shot Attack of your Squad by 29%.,1,D,A,,,79,20
7,Archer Stance α,Raise your Shot Attack by 39%.,5,,,51,,33,7
8,120mm Low-Recoil Cannon,Fire explosive projectiles from the cannon on your shoulder.,2,D,C-,,,21,3
9,Quadruple Bop Missile Launcher,Launch missiles stored in your forearm. You can move while firing.,2,D,C-,,7,60,0
10,240mm Cannons,Fire explosive projectiles from the cannon on your shoulder.,2,D,C-,,,21,6
11,Hand Grenade,Throw a hand grenade mounted on your side armor.,2,D,C,,,21,6
12,Myriad Snipe,"Ready your long rifle, then bathe foes in powerful beams.",1,B-,D,,,60,15
13,Block Stance α,Raise your Melee Defense by 39%.,5,,,51,,33,7
14,Beam Saber Combo,Unleash a combo with the saber in your right hard.,3,D,C-,,,19,5
15,Protection α,Raise your Physical Resist by 69%.,5,,,51,,33,7
16,Recovery Tool α,Recover 48% of your maximum Armor.,8,,,,,21,6
17,Wind Edge,Mow down foes nearby with your axe.,4,D,C-,,,21,6
18,Beam Coat β,Raise Ally Beam Resist by 49%.,5,,,51,,33,7
19,Fearless Charge,Charge ferociously toward the enemy.,4,D,B+,,,30,8
20,Chest-Mounted Scattering Beam Cannon,Bathe foes in low-output beams from your chest beam cannon. You can move freely while shooting. Lowers hit enemy Gunpla's Melee and Shot Defense by 14%.,1,D-,D,,4,60,0
21,Heat Saber Combo,Unleash a combo with the saber in your right hard.,4,D,C-,,,19,5
22,Shock Bringer α,Your attacks stun large foes more easily for a set period.,5,,,51,,33,7
23,5-Barrel Finger Vulcan,Launch Vulcan shots from your forearm. You can move while firing.,2,B-,D,,11,60,0
24,Block Hack α,Reduce target Melee Defense by 39%.,7,,,51,,33,7
25,Arm-Mounted Mega Particle Cannon,Launch rapid-fire beams from your forearm. You can move while firing.,1,B-,D,,11,60,0
26,240mm 6-Barrel Rocket Launcher,Fire the tracking rocket cannon stowed on your head.,2,D,C-,,,21,6
27,Planet Breaker,Bring an energized fist down to pulverize the enemy. Lowers hit enemy Gunpla's Melee Attack by 14%. Lowers hit enemy Gunpla's Melee Defense by 14%.,4,D,C,,,19,5
28,Combat Stance α,Raise your Melee Attack by 39%.,5,,,51,,33,7
29,Volcanic Shot,Jump up high and hit foes with a flying kick. Lowers hit enemy Gunpla's Melee Defense by 14%.,4,B-,D,,,21,3
30,Needle Missile,Launch missiles stowed on your shield.,2,B-,D,,,21,0
31,Defense Hack α,Reduce target Melee and Shot Defense by 39%.,7,,,37,,33,7
32,Fearless Hurl,Charge mercilessly toward the enemy. Lowers hit enemy Gunpla's Beam Resist by 19%. Lowers hit enemy Gunpla's Physical Resist by 19%.,4,B,D,,,21,3
33,Charge Axe,Jump and bring a charged axe down on the enemy's head. Raise your Melee Attack by 14%.,4,D,B-,,,21,6
34,Beam Cannon,Fire a beam in a straight line from the cannon on your back. You can move while firing.,1,D,C-,,7,60,0
35,Light Up,Activate the light equipped to your chest. You become easier to target for a set period of time.,5,,,27,,60,12
36,Claw,Grab a foe with a huge engineering claw and cut through them. Lowers hit enemy Gunpla's Physical Resist by 29%.,4,B-,D,,,33,4
37,Beam Hack α,Reduce target Beam Resist by 69%.,7,,,51,,33,7
38,Hate Up,You become easier to target for a set period of time.,5,,,51,,33,7
39,Cross Wave,Slash to create shockwaves that cleave through enemies.,3,D,B,,,21,6
40,Dual Wave,Hold bazookas in both hands and fire high-power rounds.,2,B+,D,,,21,3
41,Missile Launcher,Shoot firearms stored in your shield. You can move while firing.,2,D,C,,7,60,0
42,Protection Hack α,Reduce target Physical Resist by 69%.,7,,,51,,33,7
43,Hate Down,You become harder to target for a set period of time.,5,,,51,,33,7
44,Protection β,Raise Ally Physical Resist by 39%.,5,,,51,,33,7
45,Prominence Fist,Charge powerfully through enemies with your fist. Lowers hit enemy Gunpla's Melee and Shot Defense by 14%.,4,D,C-,,,21,6
46,Beam Saber Combo,Unleash a combo with the saber in your right hard.,3,D,B-,,,21,6
47,Twin Beam Gun & Grenade Launcher,Fire the beam rifle and grenade launcher in your arms. You can move while firing.,2,D,C,,7,60,0
48,Claw Kick,Unleash a series of kicking combo attacks. Raise your Melee Attack by 14%.,4,B,D,,,21,3
49,Anti-Ship Large Missile,Launch eight missiles mounted on your back.,2,B+,D,,,21,3
50,Small Missile,Launch missiles stowed on your shield.,2,B+,D,,,21,3
51,Missile Pod,Fire missiles from pods on your shoulders at multiple foes.,2,D,C-,,,21,6
52,Large Missile Launcher,Use the missile launcher on your leg against multiple enemies.,2,D,C-,,,21,6
53,Mega Particle Cannon,Fire a generator-linked beam cannon in your abdomen at foes.,1,B+,D,,,60,15
54,Incom,Launch the incom to repeatedly strike foes in all directions. You can move freely while this skill is active.,1,B+,D,,,60,6
55,Seventh Ray Shot,Bathe foes in high-output beams from your rifle.,1,A,D,,,60,15
56,Vulcan Pod,Fire the Vulcan in your head at foes straight ahead. You can move freely while shooting. Lowers hit enemy Gunpla's Melee and Shot Defense by 14%.,2,D-,D,,,19,5
57,Shock Bringer β,Ally attacks stun large foes more easily for a set period.,5,,,37,,33,7
58,Brave Axe Combo,Bring down a wild rush of blows with your equipped axe.,4,D,C,,,19,5
59,Panic Maker,Fire special high-powered rounds from your machine gun.,1,B+,D,,,21,3
60,Sturm Faust,Fire the portable grenade launcher on your shield. You can move while firing.,2,D,C,,7,60,0
61,Recovery Tool β,Ally recovers 38% of maximum Armor.,8,,,,,33,7
62,Crater Maker,Fire stunning rounds from your machine gun.,2,B+,D,,,21,3
63,Beam Spot Gun,Launch rapid-fire beams from your forearm. You can move while firing.,1,B+,D,,11,60,0
64,Torpedo,Fire guided torpedoes from the launcher inside the head.,2,B+,D,,,21,3
65,Beam Cannon,Launch rapid-fire beams from your forearm. You can move while firing.,1,B+,D,,11,60,0
66,Leg-Mounted Sturm Faust,Fire the Sturm Faust on your leg.,2,D,B+,,,21,6
67,Giant Bazooka,Fire the giant bazooka on your back. You can move while firing.,2,A-,D,,7,60,0
68,Archer Hack α,Reduce target Shot Attack by 39%.,7,,,51,,33,7
69,Armed Aura α,Your Gunpla resists flinching for a set period of time.,5,,,51,,33,7
70,Dual Beam Guns,Launch rapid-fire beams from your forearm. You can move while firing.,1,B+,D,,11,60,0
71,Offense Hack α,Reduce target Melee and Shot Defense by 39%.,7,,,37,,33,7
72,Hyper Mode,Enter Hyper Mode for enhanced combat prowess. Raise speed by 20%. Raise your Melee Attack by 19%. Raise your Shot Attack by 19%.,6,,,51,,60,12
73,Rose Bits,Launch the Rose Bits to strike foes in all directions. You can move freely while this is active.,1,A-,D,,,60,6
74,Chevalier Saber,Unleash a thrusting attack with the saber at your waist.,4,D,B+,,,30,8
75,Machine Cannon,Fire the machine cannon in your chest at foes straight ahead. You can move freely while shooting.,2,A-,D,,11,60,0
76,Bazooka,Fire a bazooka suspended on your back. You can move while firing.,2,D,C-,,7,60,0
77,Double Gatling Guns,Fire beam Gatling guns on both arms toward the enemy.,1,D,D,,11,60,0
78,Igelstellung,Fire the anti-air autocannons in your head at foes straight ahead. You can move freely while shooting. Lowers hit enemy Gunpla's Melee and Shot Defense by 14%.,2,D-,D,,,19,5
79,Barrier Hack β,Reduce Shot Defense of all enemies by 24%.,7,,,51,,33,7
80,Combat Hack β,Reduce Melee Attack of all enemies by 24%.,7,,,51,,33,7
81,Combat Hack α,Reduce target Melee Attack by 39%.,7,,,51,,33,7
82,Assault Cyclone,Slice foes with the beam sabers in both arms. Squad recovers 48% of maximum Armor. Raise Shot Defense of your Squad by 29%.,3,D,A,,,79,20
83,Kick Combination,Use the saber on your leg in a series of combo attacks. Raise your Melee Attack by 19%.,3,A,D,,,21,3
84,Shield Throw,Throw your shield to attack.,4,A,D,,,21,3
85,Twin Sword Rifle,Unleash a combo attack with your Twin Sword Rifle.,3,B,D,,,21,3
86,Sky Jumper,Jump high to deal a blow with your lance from the air. Lowers hit enemy Gunpla's Beam Resist by 19%.,3,B,D,,,21,3
87,GN Vulcan,Fire the GN Vulcan in your head at foes straight ahead. You can move freely while shooting. Lowers hit enemy Gunpla's Melee and Shot Defense by 14%.,1,D-,D,,,19,5
88,GN Claw,Raise your Melee ATK 14%.,4,D,C-,,,19,5
89,Saber Boomerang,"Slash with your saber, then hurl it point-first.",3,D,B-,,,21,6
90,Barrier Hack α,Reduce target Shot Defense by 39%.,7,,,51,,33,7
91,Gun Vulcan,Fire the GN Vulcan in your head at foes straight ahead. You can move freely while shooting. Lowers hit enemy Gunpla's Melee and Shot Defense by 14%.,1,D-,D,,,19,5
92,Screw Fang,"Slice with claws on both hands, then unleash a kick. Raise your Melee Attack by 14%.",4,B,D,,,21,3
93,Valiant Heart,Thrust a charged sword to cleave through enemies. Lowers hit enemy Gunpla's Physical Resist by 29%.,7,D,B-,,,21,6
94,Bright Stinger,Unleash a series of light-speed strikes from your lance. Raise your Melee Defense by 14%.,4,D,B-,,,21,6
95,Barrier Stance β,Raise Ally Shot Defense by 29%.,5,,,51,,33,7
96,GN Missile,Fire guided missiles propelled by GN particles from your back.,1,B+,D,,,21,3
97,Beam Lariat,Deploy armor on arms and strike with a rigged beam weapon.,3,D,B+,,,30,8
98,Archer Hack β,Reduce Shot Attack of all enemies by 24%.,7,,,51,,33,7
99,Scattering Beam Cannon,Bathe foes in high-output beams from your chest beam cannon.,1,B+,D,,,60,15
100,Tail Beam Rifle,Launch rapid-fire beam weapon shots from your tail. You can move while firing.,1,B+,D,,7,60,0
101,Melee Pick,Thrust with your shield pick and follow it up with a kick. Raise your Melee Attack by 14%.,4,B-,D,,,21,3
102,Saturn Engine,Dramatically boost acceleration with a heavier propellant. Raises speed by 20%. Reduces Melee and Shot Defense by 30%. Raise your vernier capacity by 25%.,6,,,27,,60,12
103,Signal Flare,Fire a signal flare into the air to send word to your allies. Raise Ally Melee Attack by 19%. Raise Ally Beam Resist by 29%. Raise Ally Physical Resist by 29%.,5,,,27,,60,6
104,Menace Shot,Lowers hit Gunpla's Shot Attack & Melee Defense 14%.,4,B-,D,,,21,3
105,2-Tube Missile Launcher,Fire the missile launcher on your back. You can move while firing.,2,D,C,,7,60,0
106,4-Tube Multi-Launcher,Strafe ahead with the quadruple multi-launcher on your back.,2,D,C,,,21,6
107,Triple Missile Pod,Fire missiles from pods on your shoulders at multiple foes.,2,D,C-,,,21,6
108,Barrier Stance α,Raise your Shot Defense by 39%.,5,,,51,,33,7
109,3-Barrel Beam Cannon,Launch rapid-fire beam cannon shots from your forearm. You can move while firing.,1,D,C-,,,60,0
110,Tri-Blade,Fire a close-range weapon that has three tracking blades.,2,B-,D,,,21,0
111,Spinning Axle,"Ready your axe, then spin to attack nearby foes. Lowers hit enemy Gunpla's Shot Attack by 19%.",3,D,C-,,,21,6
112,Energy Satellite,Generate an energy bit to provide automatic support fire. You can move freely while this is active.,1,B+,D,,,60,6
113,Arm-Mounted Mega Particle Cannon,Launch rapid-fire beams from your forearm. You can move while firing.,1,A-,D,,11,60,0
114,Vernier Up α,Raise your vernier capacity by 25%.,5,,,51,,33,7
115,Chest-Mounted Beam Cannon,Bathe foes in converging beams from a generator-linked cannon.,1,B-,D,,,60,15
116,3-Tube Rocket Launcher,Fire the rocket launcher stored in your forearm. You can move while firing.,2,D,C-,,7,60,0
117,Leg-Mounted Beam Cannon,Bathe foes in converging beams from a generator-linked cannon.,1,B-,D,,,60,15
118,Iron Impact,Knock back a foe with a mighty blow from your mace. Raise Shot Defense of your Squad by 39%.,4,D,A,,,79,20
119,Head-Mounted Mega Particle Cannon,Fire the mega particle cannon on your head.,1,A-,D,,,60,15
120,Beam Recorder,Use the recorder taken from its satchel to bathe foes in beams.,1,A-,D,,,60,15
121,Beam Saber Combo,Unleash a combo with the saber in your right hard.,3,D,B+,,,21,6
122,Fin Funnels,Launch fin funnels to strike foes in all directions. You can move freely while this is active.,1,A+,D,,,60,6
123,Dual Cascade,Hold bazookas in both hands and fire high-power rounds.,2,A,D,,,21,3
124,CIWS,Fire the close-range defense system in your head at foes straight ahead. You can move freely while shooting. Lowers hit enemy Gunpla's Melee and Shot Defense by 14%.,2,D-,D,,,19,5
125,Breast Beam Vulcan,Fire forward with the Beam Vulcan in your chest.,1,D,C,,,21,6
126,Palma Fiocina Beam Cannon,Turn both palms forward to bathe foes in high-output beams.,1,B+,C-,,,60,15
127,Rising Arrow,Fire a high-speed beam arrow from the bow on your left arm.,1,A-,D,,,21,3
128,IF Bunker,Stab a foe frozen by your IF Booster with an I-Field saber.,1,A-,D,,,60,15
129,Flight Unit,"Accelerate with your flight unit, then detach and launch.",2,A-,D,,,35,4
130,Storm Edge,Create a whirlwind with your axe to mow down surrounding foes. Raise your Shot Defense by 19%.,3,D,B+,,,21,6
131,Double Saber Shear,Cleave through enemies with sabers in each hand.,3,D,B+,,,21,6
132,Edge Fling,Throw the twin blades on your legs.,4,A,D,,,21,3
133,Trans-Am Raid,Release particles in your GN Drive for a high-speed attack. Raise Melee Attack of your Squad by 39%.,3,D,A,,,79,20
134,Archer Stance γ,Raise Shot Attack of your Squad by 39%.,5,,,51,,33,7
135,GN Missile,Fire guided missiles propelled by GN Particles at multiple foes.,1,A,D,,,21,3
136,Trans-Am,Fully release all highly-compressed particles in your GN Drive. Raise your speed by 20%. Raise your Shot Attack by 29%. Raise your Beam Resist by 49%.,6,,,51,,60,12
137,Offense Up γ,Raise Melee and Shot Attack of your Squad by 39%.,5,,,37,,33,7
138,Twist Buster,"Lift foes with your saber, then knock them back to earth.",3,D,A-,,,21,6
139,Harmonica Cannon,Bathe foes in beams from the shield's multi-barreled beam cannon.,1,A,D,,,60,35
140,Rapid Thrust,Unleash a blindingly fast flurry with sabers in each hand.,4,D,A-,,,21,6
141,Strike Punisher,Slash at high speed to unleash multiple shockwaves.,3,A+,C-,,,79,8
142,Knight's Nail,Jump high to bring your blade down on the enemy's head.,4,A,D,,,21,3
143,Mirage Colloid,Go stealthy with colloidal particles on your armor. Raise your Shot Attack by 19%. You become harder to target for a set period of time.,6,,,51,,60,12
144,Trikeros Rush,"A combo attack with the Trikeros, a composite armament unit.",3,D,B,,,19,5
145,Lightning Ball,"Charge arms with beam energy, then attack with a rush tackle. Lowers hit enemy Gunpla's Physical Resist by 29%.",4,D,B+,,,21,3
146,Bisect,Draw the Gerbera Straight to bisect foes with a mighty swing. Squad recovers 48% of maximum Armor. Raise Melee Attack of your Squad by 29%.,4,D,A,,,79,20
147,Gerbera Straight,Unleash a barrage of attacks with your blade.,4,A,D,,,21,3
148,Queue Blade,Attack with the queue blade on your head. Lowers hit enemy Gunpla's Melee Defense by 19%.,4,D,C,,,30,8
149,Dragon Claw,"Strike with both extended arms, then unleash a burst of flame. Lowers hit enemy Gunpla's Shot Defense by 19%.",2,D,B-,,,30,8
150,Hell Jumper,Jump high to deal a powerful blow with your lance from the air. Lower's hit enemy Gunpla's Beam Resist by 39%.,3,A-,D,,,30,3
151,110mm Autocannon,Fire live ammunition from your forearm. You can move while firing.,2,A-,D,,11,60,0
152,Hyper Beam Saber,Slay your foes with a single strike powered by your Biosensor. Raise Melee Attack of your Squad by 24%.,3,D,A,,,79,20
153,Arm-Mounted Grenade Launcher,Launch grenades from your forearm. You can move while firing.,2,D,B,,7,60,0
154,Recovery Tool γ,Squad recovers 48% of maximum Armor.,8,,,,,33,7
155,Beam Gun,Launch rapid-fire beams from your forearm. You can move while firing.,1,A,D,,11,60,0
156,Funnels,Launch funnels to repeatedly strike foes in all directions. You can move freely while this is active.,1,A+,D,,,60,6
157,Offense Up α,Raise your Melee and Shot Attack by 39%.,5,,,37,,33,7
158,Dober Gun,Bathe foes in beams from the Dober gun on your shoulder.,1,A-,D,,,60,15
159,Royal Heart,Thrust your charged sword to cleave cleanly through foes. Lowers hit enemy Gunpla's Beam Resist by 29%.,3,D,B+,,,30,8
160,Dragon Fang,"Strike with extended arm, then unleash a burst of flame. Lowers hit enemy Gunpla's Shot Defense by 24%.",2,D,B,,,30,8
161,Armed Aura γ,Your squad resists flinching for a set period of time.,5,,,51,,33,7
162,Machine Cannon,Fire the machine cannon in your chest at foes straight ahead. You can move freely while shooting.,2,A,D,,11,60,0
163,Hyper Jammer,Activate a powerful radio wave jammer to hide your position. Raise your Shot Attack by 19%. You become harder to target for a set period of time.,6,,,51,,60,12
164,Deadly Circle,Brutally swipe at nearby foes with your beam scythe. Lowers hit enemy Gunpla's Beam Resist by 39%.,3,A,D,,,21,3
165,Buster Shield,Fire your shield toward the enemy.,3,A,D,,,21,3
166,Assassination,"Blast foes with two sabers, finishing with a grand strike. Raise Melee Attack of your Squad by 19%. Raise Beam Resist of your Squad by 29%. Raise Physical Resist of your Squad by 29%.",3,A-,D,,,60,6
167,Grave Punisher,Send a shockwave along the ground from your beam scythe.,3,B+,D,,,21,3
168,Self-Destruct,Self-destruct in an explosion that envelops foes around you. Take 90% damage to max Armor.,4,D,A,,,21,6
169,Max Output Buster Rifle,Fire a rifle rivaling a warship's main battery at full output.,1,A+,C-,,,79,20
170,Shield Bash,Unleash a combo with the shield on your right arm. Lowers hit enemy Gunpla's Shot Defense by 19%.,4,D,B+,,,21,3
171,CIWS,Fire the close-range defense system in your head at foes straight ahead. You can move freely while shooting.,2,A,D,,,60,0
172,Excalibur,Charge forward with the Excalibur you received. Squad recovers 48% of maximum Armor. Raise Beam Resist of your Squad by 49%.,4,D,A,,,79,20
173,Buster Anchor,Demolish foes from point-blank range with a quad 400mm cannon.,2,D,B+,,,41,11
174,Gemini Satellite,Generate an energy bit to provide automatic support fire. You can move freely while this is active.,1,A-,D,,,60,6
175,Hand Grenade,Throw a hand grenade mounted on your side armor.,2,D,B+,,,21,6
176,Gusion Hammer,Brandish the hammer on your back in a flurry attack.,4,D,B+,,,30,8
177,Spinning Rave,"Ready your axe, then spin to attack nearby foes. Lowers hit enemy Gunpla's Shot Attack by 19%.",4,D,B,,,30,8
178,Homing Missile,Launch homing missiles mounted on both your shoulders.,2,D,B-,,,21,6
179,Cross Crusher,"With shield, backpack, and shotels equipped onto arms, any enemy grabbed is crushed. Lowers hit enemy Gunpla's Physical Resist by 29%.",3,B+,D,,,21,3
180,Super Mode,Enter Super Mode for enhanced combat prowess. Raises speed by 20%. Raise your Melee Attack by 29%. Raise your Melee Defense by 19%.,6,,,51,,60,12
181,Shining Finger Sword,"Crush foes with your love, your anger, and all of your sorrow. Raise Melee Attack of your Squad by 19%. Raise Melee Defense of your Squad by 24%.",3,B,A,,,79,8
182,Protection Hack β,Reduce Physical Resist of all enemies by 39%.,7,,,51,,31,7
183,Block Stance γ,Raise your Melee Defense of your squad by 39%.,5,,,51,,33,7
184,Schwert Gewehr,Jump and bring a charged blade down on the foe's head. Raise your Melee Defense by 19%.,3,D,B,,,30,8
185,Maelstrom,"Blow through foes, spinning to strike them with your blade.",3,A-,D,,,30,3
186,Hidden Arm & Samurai Sword,Mow down foes with dual blades hidden in your shoulders. Lowers hit enemy Gunpla's Melee Defense by 19%.,4,D,A-,,,21,6
187,Particle Fa Jin,"Inject particles into your foe, destroying them from within. Raise Shot Attack of your Squad by 39%.",4,A+,C,,,60,6
188,Picus,Fire the anti-air autocannons in your head at foes straight ahead. You can move freely while shooting. Lower hit enemy Gunpla's Melee and Shot Defense by 14%.,2,D-,D,,,19,5
189,Xiphias Rail Cannon,Slash with your saber and fire high-speed rounds from both your railguns at mid-air enemy. Squad recovers 48% of maximum Armor. Raises your Shot Attack by 29%.,2,D,A,,,73,19
190,Balaena Plasma Beam Cannon,Attack enemy ahead by firing highly compressed plasma energy from your Plasma Beam Cannon.,1,A,D,,,60,15
191,Sagittus,Fire the anti-air autocannons in your head at foes straight ahead. You can move freely while shooting. Lower hit enemy Gunpla's Melee and Shot Defense by 14%.,2,D-,D,,,19,5
192,Bassel Beam Boomerang,Attack locked-on target with boomerang on your shoulder.,3,A,D,,,21,3
193,Fatum-00,Board lifter attached to back and execute a rush attack. Squad recovers 48% of maximum Armor. Raises Melee Attack of your Squad by 29%.,4,D,A,,,79,20
194,Voiture Lumiere,"Catch solar wind using a ring-shaped quantum field, converting it into propulsive force. Raise speed by 20%. Raises your Shot Attack by 19%. Raises your Shot Defense by 29%.",6,,,51,,60,12
195,Missile Launcher,Open your chest armor to unleash a missile barrage. You can move while firing.,2,A-,D,,7,60,0
196,Handgun,Launch rapid-fire Vulcan shots from your forearm. You can move while firing.,2,A-,D,,11,60,0
197,Sonic Blast,Bathe foes in beams from the beam cannon in your abdomen.,1,B-,D,,,60,15
198,Rapid Thrust,Unleash a blindingly fast flurry with knives in each hand.,4,D,B+,,,21,6
199,Railgun & Single-Mounted Cannon,Fire 115mm Railgun and 105mm Single-Mounted Cannon from your integrated Weapons Striker Pack (IWSP).,2,D,B+,,,21,6
200,Dual Shredder,Execute suppressive fire with special rounds from your Gatling Gun.,2,A-,C-,,,21,3
201,HADES System,"Activate HADES, a system developed from the EXAM system. Raise speed by 20%. Raise your Melee Attack by 19%. Raise your Shot Attack by 29%.",6,,,51,,60,12
202,Leg-Mounted Rocket Launcher,Fire the rocket launcher mounted on your leg.,2,D,B+,,,21,6
203,180mm Cannon,Hold the cannon on your back under your arm and fire.,2,D,A-,,,21,6
204,Shock Bringer γ,Squad attacks stun large foes more easily for a set period.,5,,,51,,33,7
205,Armed Aura β,Allies resist flinching for a set period of time.,5,,,37,,33,7
206,Shiva & 5-Tube Missile Pod,Fire a railgun and missiles from units on your shoulders. You can move while firing.,2,A-,D,,7,60,0
207,Grenade Launcher,Launch grenades from your shield. You can move while firing.,2,D,C,,7,60,0
208,Buster Beam,Bathe foes in high-output beams from your chest Beam Cannon.,1,A,D,,,60,15
209,Beam Vulcan,Launch rapid-fire Beam Vulcan shots from your forearm. You can move while firing.,1,A-,D,,11,60,0
210,Legilis Cannon,Launch beam weapon shots from your tail.,1,A,D,,,21,3
211,Legilis Bits,"Launch Legilis Bits from your shield, hitting an enemy directly ahead with clusters of energy.",1,A,D,,,60,15
212,Shoulder Grenade Launcher,Attack enemy with the double-barrel break-action grenade launcher stowed in your shoulder frame.,2,D,B+,,,21,6
213,Sub-Arm Unit,Fire two Beam Rifles using the sub-arms attached to your waist.,1,D,B+,,,21,6
214,Shield Booster,Use Shield Booster to temporarily increase performance. Raises speed by 20%. Raises your Melee Attack by 19%. Raises your Physical Resist by 49%.,6,,,51,,60,12
215,Scattering Beam Cannon,Fire the Scattering Beam Cannon stowed in your shield.,1,A-,C-,,,21,3
216,Cougar Rush,Execute a combo on target using a Beam Saber in both hands.,3,D,B+,,,21,3
217,Charge Shot,Attach your shield to your rifle and blast foes with a high-energy beam.,1,D,B+,,,21,6
218,MEPE Mode,Release your limiters to unleash your Gunpla's full potential. Raise speed by 20%. Raise your Melee Attack by 19%. Raise your Shot Attack by 29%.,6,,,51,,60,12
219,Spinning Saber,Spin both hands to mow down nearby foes with your saber. Lowers hit enemy Gunpla's Melee Defense by 19%.,3,A,D,,,21,3
220,V.S.B.R.,Wedge the cannon on your back under your arm to fire projectiles. You can move while firing.,1,A,D,,7,60,0
221,Offense Up β,Raise Ally Melee and Shot Attack by 29%.,5,,,37,,33,7
222,Anti-Armor Shotgun,Fire your Gunlauncher forward and Beam Rifle backward to spray the area with bullets.,2,D,D,,,21,6
223,Nix Snipe,Briefly bathe foes in powerful beams from your long rifle.,1,B+,C-,,,60,15
224,120mm Machine Cannon,Fire the machine cannon in your chest at foes straight ahead. You can move freely while shooting.,2,B+,D,,11,60,0
225,Rapid Thrust,Unleash a blindingly fast furry with sabers in each hand.,3,A-,D,,,21,3
226,Block Stance β,Raise Ally Melee Defense by 29%.,5,,,51,,33,7
227,Beam Vulcan,Launch rapid-fire Beam Vulcan shots from your forearm. You can move while firing.,1,B+,D,,11,60,0
228,Tail Beam Rifle,Launch rapid-fire beam weapon shots from your tail. You can move while firing.,1,B-,D,,4,60,0
229,Arm-Mounted Grenade Launcher,Launch grenades from your forearm. You can move while firing.,2,D,C-,,11,60,0
230,Block Hack β,Ally recovers 38% of maximum Armor.,7,,,51,,33,7
231,6-Tube Missile with Built-in Satchel,Fire guided missiles from the satchel on your back.,2,D,B+,,,21,6
232,Sturm Faust,Launch the Sturm Faust stored in your forearm shield. You can move while firing.,2,D,C-,,7,60,0
233,Beam Pistol,Fire the twin pistols mounted on your back.,1,D,B-,,,21,6
234,Arm-Mounted Scattering Beam Cannon,Fire the beam cannons in your shoulder armor over a wide area. You can move while firing.,1,D,D,,11,60,0
235,Grenade Launcher,Launch grenades stowed in your body frame.,2,D,B-,,,21,6
236,Shoulder-Mounted Beam Cannon,Bathe foes in beams from the cannon suspended on your back.,1,B+,D,,,60,15
237,Beam Cannon,Wedge the beam cannon on your back under your arm to fire beams.,1,B-,D,,,60,15
238,Double Saber Shear,A furry of invisible blows from the saber on your forearm.,3,B,D,,,21,3
239,Rose Screamer,Deploy the Rose Bits to enclose foes in an electrified space. Stuns enemies for a set period of time.,1,,,,,60,15
240,Dober Gun,Bathe foes in beams from the Dober gun on your shoulder.,1,A,D,,,60,15
241,Vertical Saber Spin,"Spin your right wrist, attacking enemies with an oscillating Beam Saber. Lower hit enemy Gunpla's Beam Resist by 39%.",3,A,D,,,21,3
242,Mega Particle Cannon (Incom),Detach and launch your forearm to shoot at a locked-on target.,1,D,B+,,,21,6
243,Psycho Jammer,"Launch Psycho Jammer, erecting a force field around locked-on target and suppressing movement within.",1,,,,,60,15
244,Triple-Barrel Mega Particle Cannon,Fire beams from the Triple-Barrel High-Caliber Mega Particle Cannon in your shield.,1,A-,D,,,60,15
245,Battlecry,"Charge into the fray solo, attacking with your saber. Squad recovers 48% of maximum Armor. Raise Melee Defense of your Squad by 29%.",3,A+,C,,,60,6
