Index,Model,Name,Subname,Series,Issue,Japanese,Rarity,Attr,Marks,Capsule,Exchange,Limited,Sokai,Release Date,Link
1,,Unassigned [P],,99,,,1,1,4,,,,FALSE,2019-07-31,
2,,Unassigned [S],,99,,,1,3,4,,,,FALSE,2019-07-31,
3,,Unassigned [T],,99,,,1,2,4,,,,FALSE,2019-07-31,
4,RX-78-2,Gundam,Pre-Registration Reward,1,1,ガンダム【事前登録報酬】,2,1,3,,,,FALSE,2019-07-31,Dengeki
5,RX-78-2,Gundam,,1,1,ガンダム,4,2,1,,,,FALSE,2019-07-31,Dengeki
6,RX-75-4,Guntank,,1,3,ガンタンク,1,1,4,,,,FALSE,2019-07-31,Dengeki
7,RX-77-2,Guncannon,,1,2,ガンキャノン,1,1,4,,,,FALSE,2019-07-31,Dengeki
8,RGM-79,GM,,1,4,ジム,1,1,4,,,,FALSE,2019-07-31,Dengeki
9,MS-06,Zaku II,,1,5,ザクⅡ,1,2,4,,,,FALSE,2019-07-31,Dengeki
10,MS-06S,Zaku II,Char Aznable,1,6,ザクⅡ［シャア・アズナブル専用］,3,3,2,,,,FALSE,2019-07-31,Dengeki
11,MS-09B,Dom,,1,8,ドム,1,2,4,,,,FALSE,2019-07-31,Dengeki
12,MS-07B,Gouf,,1,7,グフ,1,2,4,,,,FALSE,2019-07-31,Dengeki
13,MSM-04,Acguy,,1,9,アッガイ,1,2,4,,,,FALSE,2019-07-31,Dengeki
14,MSM-07,Z'Gok,,1,10,ズゴック,1,2,4,,,,FALSE,2019-07-31,Dengeki
15,YMS-15,Gyan,,1,11,ギャン,1,2,4,,,,FALSE,2019-07-31,Dengeki
16,MS-14,Gelgoog,Mass Production Type,1,12,ゲルググ［量産型］,1,3,4,,,,FALSE,2019-07-31,Dengeki
17,MS-06F,Zaku Minelayer,,2,2,ザクマインレイヤー,1,2,4,,,,FALSE,2019-07-31,Dengeki
18,MS-06FS,Zaku II Type FS,Garma Zabi,2,1,ザクⅡFS［ガルマ・ザビ専用］,2,3,3,,,,FALSE,2019-07-31,Dengeki
19,MS-14C,Gelgoog Cannon,,2,3,ゲルググキャノン,1,1,4,,,,FALSE,2019-07-31,Dengeki
20,MW-01,Mobile Worker,,36,1,モビルワーカー,1,1,4,,,,FALSE,2019-07-31,Dengeki
21,RX-178,Gundam Mk-II,A.E.U.G. Design,8,2,ガンダムMk-Ⅱ［エゥーゴ仕様］,2,1,3,,,,FALSE,2019-07-31,Dengeki
22,RX-178,Gundam Mk-II,Titans Design,8,6,ガンダムMk-Ⅱ［ティターンズ仕様］,2,3,3,,,,FALSE,2019-07-31,Dengeki
23,RGM-86R,GM II,,8,5,ジムⅡ,1,3,4,,,,FALSE,2019-07-31,Dengeki
24,RMS-099,Rick Dias,Quattro Bajeena Colors,8,4,リック・ディアス［クワトロ・バジーナカラー］,2,2,3,,,,FALSE,2019-07-31,Dengeki
25,PMX-001,Palace Athene,,8,7,パラス・アテネ,2,1,3,,,,FALSE,2019-07-31,Dengeki
26,RGM-86R,GM III,,10,1,ジムⅢ,1,1,4,,,,FALSE,2019-07-31,Dengeki
27,AMX-014,Döven Wolf,,10,2,ドーベン・ウルフ,2,1,3,,,,FALSE,2019-07-31,Dengeki
28,RGM-89,Jegan,,11,2,ジェガン,2,2,3,,,,FALSE,2019-07-31,Dengeki
29,AMS-119,Geara Doga,,11,3,ギラ・ドーガ,2,2,3,,,,FALSE,2019-07-31,Dengeki
30,RX-78NT-1FA,Gundam NT-1,Chobham Armor,6,2,ガンダムNT-1［チョバムアーマー装備］,3,2,2,,,,FALSE,2019-07-31,Dengeki
31,MS-06FZ,Zaku II Kai,,6,4,ザクⅡ改,2,2,3,,,,FALSE,2019-07-31,Dengeki
32,MS-14Jg,Gelgoog Jäger,,6,7,ゲルググJ,2,3,3,,,,FALSE,2019-07-31,Dengeki
33,MSM-03C,Hy-Gogg,,6,5,ハイゴッグ,2,3,3,,,,FALSE,2019-07-31,Dengeki
34,MS-18E,Kämpfer,,6,6,ケンプファー,3,2,2,,,,FALSE,2019-07-31,Dengeki
35,RGM-79GS,GM Command,Space Type,6,3,ジム・コマンド［宇宙仕様］,1,3,4,,,,FALSE,2019-07-31,Dengeki
36,XM-01,Den'an Zon,,13,2,デナン・ゾン,2,2,3,,,,FALSE,2019-07-31,Dengeki
37,RGM-79N,GM Custom,,7,2,ジム・カスタム,1,3,4,,,,FALSE,2019-07-31,Dengeki
38,MS-09F/trop,Dom Tropen,,7,3,ドム・トローペン,1,2,4,,,,FALSE,2019-07-31,Dengeki
39,MS-09F/trop,Dom Tropen,Sand Brown,7,4,ドム・トローペン［サンドブラウン］,1,3,4,,,,FALSE,2019-07-31,Dengeki
40,GF13-009NF,Gundam Rose,,16,4,ガンダムローズ,3,1,2,,,,FALSE,2019-07-31,Dengeki
41,XXXG-01W,Wing Gundam,Pre-Registration Reward,17,1,ウイングガンダム【事前登録報酬】,2,2,3,,,,FALSE,2019-07-31,Dengeki
42,MMS-01,Serpent Custom,,18,2,サーペントカスタム,1,3,4,,,,FALSE,2019-07-31,Dengeki
43,MMS-01,Serpent Custom,Double Gatling Gun,18,3,サーペントカスタム［ダブルガトリングガン装備］,1,3,4,,,,FALSE,2019-07-31,Dengeki
44,GAT-X102,Duel Gundam,,21,5,デュエルガンダム,3,3,2,,,,FALSE,2019-07-31,Dengeki
45,GAT-X303,Aegis Gundam,,21,4,イージスガンダム,4,3,1,,,,FALSE,2019-07-31,Dengeki
46,MBF-P04,Astray Green Frame,,23,3,アストレイ グリーンフレーム,2,1,3,,,,FALSE,2019-07-31,Dengeki
47,GNX-603T,GN-X,,25,4,ジンクス,2,2,3,,,,FALSE,2019-07-31,Dengeki
48,GNX-609T,GN-XIII,,25,5,ジンクスⅢ,2,3,3,,,,FALSE,2019-07-31,Dengeki
49,GNR-101A,GN Archer,,25,3,GNアーチャー,2,3,3,,,,FALSE,2019-07-31,Dengeki
50,AGE-1T,Gundam AGE-1 Titus,,26,2,ガンダムAGE-1 タイタス,3,1,2,,,,FALSE,2019-07-31,Dengeki
51,ovv-f,Gafran,,26,3,ガフラン,2,1,3,,,,FALSE,2019-07-31,Dengeki
52,EMS-10,Zudah,,37,2,ヅダ,1,2,4,,,,FALSE,2019-07-31,Dengeki
53,EMS-10,Zudah,Commander Type,37,1,ヅダ［隊長機］,2,3,3,,,,FALSE,2019-07-31,Dengeki
54,RGM-96X,Jesta,,12,1,ジェスタ,2,2,3,,,,FALSE,2019-07-31,Dengeki
55,RGM-96X,Jesta Cannon,,12,2,ジェスタ・キャノン,2,1,3,,,,FALSE,2019-07-31,Dengeki
56,RGM-89S,Stark Jegan,,12,3,スタークジェガン,1,3,4,,,,FALSE,2019-07-31,Dengeki
57,AMX-009,Dreissen,Unicorn Ver.,12,4,ドライセン［ユニコーンVer.］,1,1,4,,,,FALSE,2019-07-31,Dengeki
58,RX-160S,Byarlant Custom,,12,5,バイアラン・カスタム,2,1,3,,,,FALSE,2019-07-31,Dengeki
59,MSM-04G,Juaggu,Unicorn Ver.,12,6,ジュアッグ［ユニコーンVer.］,1,3,4,,,,FALSE,2019-07-31,Dengeki
60,ASW-G-08,Gundam Barbatos,4th Form,28,1,ガンダムバルバトス［第4形態］,4,1,1,,,,FALSE,2019-07-31,Dengeki
61,GPB-04B,Beargguy,,31,2,ベアッガイ,3,1,2,,,,FALSE,2019-07-31,Dengeki
62,RX-93,ν Gundam,Ver. Ka,11,1,νガンダム［Ver.Ka］,4,3,1,,,TRUE,FALSE,2019-07-31,Dengeki
63,Gundam Artemis,Gundam Artemis,,99,1,ガンダムアルテミス,2,1,1,,,,FALSE,2019-07-31,Dengeki
64,JMF1336R,Rising Gundam,,16,2,ライジングガンダム,3,3,2,,Event,,FALSE,2019-08-07,Dengeki
65,MRC-F20,Mobile SUMO,Gold Type,20,1,モビルスモー［ゴールドタイプ］,3,3,2,,Arena,,FALSE,2019-08-07,Dengeki
66,GN-001,Gundam Exia,,25,1,ガンダムエクシア,4,3,1,,,,FALSE,2019-08-07,Dengeki
67,GN-002,Gundam Dynames,,25,2,ガンダムデュナメス,4,2,1,,,,FALSE,2019-08-07,Dengeki
68,GX-9900-DV,Gundam X Divider,,19,2,ガンダムXディバイダー,4,1,1,,,,FALSE,2019-08-14,Dengeki
69,GAT-X105,Aile Strike Gundam,,21,1,エールストライクガンダム,4,3,1,,,,FALSE,2019-08-14,Dengeki
70,GAT-X207,Blitz Gundam,,21,6,ブリッツガンダム,3,3,2,,Event,,FALSE,2019-08-14,Dengeki
71,MBF-P02,Astray Red Frame,,23,1,アストレイ レッドフレーム,4,3,1,,,,FALSE,2019-08-21,Dengeki
72,GF13-011NC,Dragon Gundam,,16,3,ドラゴンガンダム,3,2,2,,,,FALSE,2019-08-21,Dengeki
73,AGX-04,Gerbera Tetra,,7,5,ガーベラ・テトラ,3,3,2,,Event,,FALSE,2019-08-21,Dengeki
74,MSZ-006,Zeta Gundam,,8,1,Zガンダム,4,3,1,,,,TRUE,2019-08-28,Dengeki
75,AMX-004,Qubeley,,8,8,キュベレイ,4,1,1,,,,TRUE,2019-08-28,Dengeki
76,OZ-00MS,Tallgeese II,,17,6,トールギスⅡ,3,2,2,,Event,,FALSE,2019-08-28,Dengeki
77,MSN-00100,Hyaku Shiki,,8,3,百式,3,3,2,,Event,,FALSE,2019-09-04,Dengeki
78,XXXG-01S,Shenlong Gundam,,17,3,シェンロンガンダム,4,2,1,,,,FALSE,2019-09-04,Dengeki
79,XXXG-01D,Gundam Deathscythe,,17,2,ガンダムデスサイズ,4,3,1,,,,FALSE,2019-09-04,Dengeki
80,Code ϕ,Code ϕ,,99,2,Codeφ,2,2,1,,,,FALSE,2019-09-07,Dengeki
81,XXXG-01W,Wing Gundam,,17,1,ウイングガンダム,4,3,1,,,,FALSE,2019-09-11,Dengeki
82,ZGMF-X56S/α,Force Impulse Gundam,,22,1,フォースインパルスガンダム,4,1,1,,,,FALSE,2019-09-11,Dengeki
83,ASW-G-11,Gundam Gusion,,28,3,ガンダムグシオン,3,1,2,,Event,,FALSE,2019-09-11,Dengeki
84,XXXG-01SR,Gundam Sandrock,Promotional Code,17,5,ガンダムサンドロック【プロダクトコード持典】,3,3,2,,,Promotional,FALSE,2019-09-13,
85,GF13-017NJ,Shining Gundam,,16,1,シャイニングガンダム,4,1,1,,,,FALSE,2019-09-18,Dengeki
86,GAT-X105,Sword Strike Gundam,,21,2,ソードストライクガンダム,3,2,2,,Event,,FALSE,2019-09-18,Dengeki
87,侍ノ弐,Sengoku Astray Gundam,,32,1,戦国アストレイ頑駄無,4,2,1,,,,FALSE,2019-09-18,Dengeki
88,ZGMF-X10A,Freedom Gundam,,21,7,フリーダムガンダム,4,1,1,,,,TRUE,2019-09-25,Dengeki
89,ZGMF-X09A,Justice Gundam,,21,8,ジャスティスガンダム,4,3,1,,,,TRUE,2019-09-25,Dengeki
90,GSX-401FW,Stargazer Gundam,,24,1,スターゲイザー,3,3,2,,Event,,FALSE,2019-09-25,Dengeki
91,AMX-109,Mobile Kapool,,20,2,モビルカプル,1,1,4,,,,FALSE,2019-09-25,Dengeki
92,MBF-02,Strike Rouge,IWSP,46,1,ストライクルージュ［I.W.S.P.］,3,3,2,,Arena,,FALSE,2019-10-01,Dengeki
93,RX-80PR,Pale Rider,,5,1,ペイルライダー,4,3,1,,,,FALSE,2019-10-02,Dengeki
94,GAT-X102,Duel Gundam (Assault Shroud),,21,10,デュエルガンダムアサルトシュラウド,4,1,1,,,,FALSE,2019-10-02,Dengeki
95,MSN-001A1,Delta Plus,,12,7,デルタプラス,3,1,2,,Event,,FALSE,2019-10-02,Dengeki
96,xvm-fzc,Gundam Legilis,,26,4,ガンダムレギルス,4,2,1,,,,FALSE,2019-10-09,Dengeki
97,RX-121-2A,Gundam TR-1,Advanced Hazel w/ Optical Sensor Unit,40,1,ガンダムTR-1［アドバンスド・ヘイズル／光学センサーユニット装備］,3,2,2,,Event,,FALSE,2019-10-09,Dengeki
98,PFF-X7/E3,EARTHREE GUNDAM,,62,1,アースリィガンダム,4,3,1,,,,FALSE,2019-10-09,Dengeki
99,RGM-96X,Gundam F91,,13,1,ガンダムF91,4,2,1,Capsule Medal,,,FALSE,2019-10-09,Dengeki
100,GAT-X103,Buster Gundam,,21,99,バスターガンダム,3,1,2,Capsule Medal,,,FALSE,2019-10-09,Dengeki
101,MSM-03C,Hy-Gogg [ALT],,6,5,ハイゴッグ（✧1）（T）,1,2,3,Capsule Medal,,,FALSE,2019-10-09,Dengeki
102,MS-18E,Kämpfer [ALT],,6,6,ケンプファー（✧1）（P）,1,1,2,Capsule Medal,,,FALSE,2019-10-09,Dengeki
103,ovv-f,Gafran [ALT],,26,3,ガフラン（✧1）（S）,1,3,3,Capsule Medal,,,FALSE,2019-10-09,Dengeki
104,RGM-96X,Jesta Cannon [ALT],,12,2,ジェスタ・キャノン（✧1）（T）,1,2,3,Capsule Medal,,,FALSE,2019-10-09,Dengeki
105,RGM-89S,Stark Jegan [ALT],,12,3,スタークジェガン（✧1）（P）,1,1,4,Capsule Medal,,,FALSE,2019-10-09,Dengeki
106,GPB-04B,Beargguy [ALT],,31,2,ベアッガイ（✧1）（T）,1,2,2,Capsule Medal,,,FALSE,2019-10-09,Dengeki
107,EMS-10,Zudah [ALT],,37,2,ヅダ（✧1）（S）,1,3,3,Capsule Medal,,,FALSE,2019-10-09,Dengeki
108,RMS-099,Rick Dias [ALT],Quattro Bajeena Colors,8,4,リック・ディアス［クワトロ・バジーナカラー］（✧1）（S）,1,3,3,Capsule Medal,,,FALSE,2019-10-09,Dengeki
109,PMX-001,Palace Athene [ALT],,8,7,パラス・アテネ（✧1）（T）,1,2,3,Capsule Medal,,,FALSE,2019-10-09,Dengeki
110,AMX-014,Döven Wolf [ALT],,10,2,ドーベン・ウルフ（✧1）（S）,1,3,3,Capsule Medal,,,FALSE,2019-10-09,Dengeki
111,MMS-01,Serpent Custom [ALT],,18,2,サーペントカスタム（✧1）（P）,1,1,4,Capsule Medal,,,FALSE,2019-10-09,Dengeki
112,RX-160S,Byarlant Custom [ALT],,12,5,バイアラン・カスタム（✧1）（S）,1,3,3,Capsule Medal,,,FALSE,2019-10-09,Dengeki
113,GF13-009NF,Gundam Rose [ALT],,16,4,ガンダムローズ（✧1）（T）,1,2,2,Capsule Medal,,,FALSE,2019-10-09,Dengeki
